strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r,group_strike
24.0,16.66,16.801174537940444,0.14117453794044366,0.019930250162697765,0.5825242718446602,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.14238079214362767,0.02,24.0
24.0,17.17,17.319452913247527,0.14945291324752574,0.022336173278172455,0.5751258087706687,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.14238079214362767,0.02,24.0
24.0,17.16,16.851764437399755,0.3082355626002453,0.09500916205148975,0.5821004123211254,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.14238079214362767,0.02,24.0
24.0,17.26,16.880175577789093,0.37982442221090906,0.14426659170785092,0.5815362248606736,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,test,0.14238079214362767,0.02,24.0
26.0,14.81,14.953252544010356,0.14325254401035536,0.0205212913654388,0.6310679611650485,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.14943281349335302,0.02,26.0
26.0,15.32,15.47168073010179,0.1516807301017895,0.023007043884211913,0.6230529595015577,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.14943281349335302,0.02,26.0
26.0,15.31,14.995109239403273,0.31489076059672705,0.09915619110918526,0.6306087800145526,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.14943281349335302,0.02,26.0
26.0,15.41,15.027919290984807,0.3820807090151934,0.1459856682015529,0.6299975769323963,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,test,0.14943281349335302,0.02,26.0
28.0,13.0,13.120761326185699,0.12076132618569879,0.01458329790212874,0.6796116504854368,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.15616867417212202,0.02,28.0
28.0,13.47,13.63661663467005,0.16661663467004928,0.027761102948772667,0.6709801102324467,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.15616867417212202,0.02,28.0
28.0,13.46,13.151299180259054,0.3087008197409471,0.09529619610873272,0.6791171477079797,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.15616867417212202,0.02,28.0
28.0,13.61,13.189501392474977,0.42049860752502255,0.17681907893048296,0.6784589290041192,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,test,0.15616867417212202,0.02,28.0
30.0,11.24,11.365644422835,0.1256444228350002,0.015786520989540323,0.7281553398058251,2026-04-01,JUN 2027,1.2136986301369863,41.2,240.0,train,0.16442509178619075,0.02,30.0
30.0,11.72,11.872579366855941,0.15257936685594053,0.023280463190159684,0.7189072609633358,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.16442509178619075,0.02,30.0
30.0,11.67,11.378150481113787,0.29184951888621313,0.08517614167411408,0.7276255154014069,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.16442509178619075,0.02,30.0
30.0,11.81,11.424454726626987,0.3855452733730136,0.14864515782027177,0.726920281075842,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,test,0.16442509178619075,0.02,30.0
32.0,9.66,9.716794636713027,0.0567946367130272,0.0032256307593647375,0.7766990291262136,2026-04-01,MAR 2027,0.9643835616438357,41.2,165.0,train,0.18110765999943607,0.02,32.0
32.0,8.8,9.388294701049105,0.5882947010491044,0.34609065528245514,0.7766990291262136,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,train,0.18110765999943607,0.02,32.0
32.0,10.14,10.213273200470981,0.07327320047098063,0.005368961907260515,0.7668344116942248,2026-04-02,MAR 2027,0.9616438356164384,41.73,165.0,train,0.18110765999943607,0.02,32.0
32.0,10.2,9.758598537590663,0.44140146240933653,0.19483525101710092,0.7753816331475648,2026-04-13,MAR 2027,0.9315068493150684,41.27,165.0,train,0.18110765999943607,0.02,32.0
