date,maturity,expiry,tau,S0,strike,moneyness,sigma_calibrated,train_mse,train_mae,test_mae,n_train,n_test
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,32.0,0.7766990291262136,0.05802074656326706,8.597760059774032e-08,0.0002932193728213406,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,34.0,0.8252427184466019,0.11837251046495906,4.93498071457024e-07,0.0007024941789488537,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,36.0,0.8737864077669902,0.15156732486901017,2.0238210817318586e-06,0.0014226106571131325,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,38.0,0.9223300970873786,0.16438990862653613,1.8156691465287823e-06,0.0013474676792148976,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,40.0,0.9708737864077669,0.17119778430259086,1.0834476873883286e-06,0.0010408879321945896,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,42.0,1.0194174757281553,0.1765984844304104,1.4459646482788465e-06,0.0012024827018626283,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,44.0,1.0679611650485437,0.1803990890174749,3.3140942537915726e-07,0.0005756817049196172,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,45.0,1.0922330097087378,0.18209253272864293,4.5064003884064293e-07,0.0006712972805252848,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,46.0,1.116504854368932,0.18385817141052174,1.710705303396545e-06,0.001307939334753927,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,48.0,1.1650485436893203,0.18775742037793283,1.0296002386393575e-06,0.0010146921891092675,,1,0
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,50.0,1.2135922330097086,0.19226832124473606,3.2970990425559393e-09,5.742037132025479e-05,,1,0
