date,maturity,expiry,tau,S0,S_max,sigma_calibrated,train_mse,train_mae,test_mae,n_train,n_test,options_csv
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.03621113752471977,0.16583543173243304,0.12415186298178722,8,3,../data/daily_clean/2026-04-01_options.csv
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.013443266066918558,0.10321515527032771,0.07041453833773192,8,3,../data/daily_clean/2026-04-01_options.csv
2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.054317284048751566,0.20415853010242044,0.1343777423177309,8,3,../data/daily_clean/2026-04-01_options.csv
2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.027721308864131673,0.1448623252839508,0.1085380270480772,8,3,../data/daily_clean/2026-04-02_options.csv
2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.010167087252237153,0.08988803345487967,0.06000865850073123,8,3,../data/daily_clean/2026-04-02_options.csv
2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.0592804116561602,0.21717592205501324,0.1411281742341736,8,3,../data/daily_clean/2026-04-02_options.csv
2026-04-13,MAY 2026,2026-05-15,0.08767123287671233,41.27,138.0,0.244295813632294,0.0008504154986683132,0.02496551596358281,0.04834522107934913,8,3,../data/daily_clean/2026-04-13_options.csv
2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.0024937041665261516,0.036916226606552305,0.025043928363714125,8,3,../data/daily_clean/2026-04-13_options.csv
2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.00039498123311218014,0.018304472758841672,0.03118089211377743,8,3,../data/daily_clean/2026-04-25_options.csv
2026-04-25,JUN 2026,2026-06-19,0.1506849315068493,41.23,138.0,0.2239823329526947,0.002831595592210489,0.049051682037715844,0.05627517083932224,8,3,../data/daily_clean/2026-04-25_options.csv
2026-04-25,SEP 2026,2026-09-18,0.4,41.23,150.0,0.18968492833456563,0.003238984908329558,0.04487134343805119,0.029957364990423712,8,3,../data/daily_clean/2026-04-25_options.csv
