date,maturity,expiry,tau,S0,strike,moneyness,sigma_calibrated,train_mse,train_mae,test_mae,n_train,n_test
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,36.0,0.8737864077669902,0.010362958593380753,0.047977077531136635,0.21903670361639538,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,37.0,0.8980582524271844,0.010558319702408551,0.014753735178517533,0.12146495452811701,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,38.0,0.9223300970873786,0.07316338406656077,2.5493946120695733e-09,5.0491530102281246e-05,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,39.0,0.9466019417475727,0.14959869262320186,1.9012820786979127e-09,4.3603693406613075e-05,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,40.0,0.9708737864077669,0.16992394916066467,8.382754923116655e-08,0.00028952987623243054,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,41.0,0.9951456310679611,0.1801273914303764,5.883901742500296e-07,0.0007670659516951783,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,42.0,1.0194174757281553,0.18655866426252599,5.39524779156633e-07,0.0007345235048360488,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,43.0,1.0436893203883495,0.19301554004492477,3.345672790577314e-07,0.000578417910388096,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,44.0,1.0679611650485437,0.2000151860397169,9.505080320161847e-10,3.083031028089378e-05,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,45.0,1.0922330097087378,0.20785164496878686,2.0800635848251883e-09,4.560771409339859e-05,,1,0
2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,46.0,1.116504854368932,0.21483822639620206,2.3883596400905747e-08,0.00015454318620018725,,1,0
