date,maturity,expiry,tau,S0,strike,moneyness,sigma_calibrated,train_mse,train_mae,test_mae,n_train,n_test
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,36.0,0.8737864077669902,0.09437101029516637,5.1004824390052044e-08,0.00022584247693924198,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,37.0,0.8980582524271844,0.13973247670922195,1.7110472517573155e-07,0.0004136480692276123,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,38.0,0.9223300970873786,0.1558985941603946,2.9776004268608783e-09,5.4567393440230205e-05,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,39.0,0.9466019417475727,0.16679606235920919,1.4952697727548043e-06,0.0012228122393707075,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,40.0,0.9708737864077669,0.1718712351112104,1.3754068820155232e-07,0.00037086478425640834,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,41.0,0.9951456310679611,0.17585128161481609,2.7586546105974742e-08,0.00016609198085992816,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,42.0,1.0194174757281553,0.17899375943342202,1.0257230477891701e-07,0.00032026911305793604,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,43.0,1.0436893203883495,0.18135793239281855,1.1442141158785604e-06,0.0010696794453847192,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,44.0,1.0679611650485437,0.18398914828873394,1.44087874933317e-07,0.0003795890869523477,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,45.0,1.0922330097087378,0.18596447542130254,4.3126299048199765e-07,0.0006567061675376573,,1,0
2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,46.0,1.116504854368932,0.19186109264595644,2.9421923722404138e-08,0.0001715282009536745,,1,0
