date,ticker,option_type,maturity,strike,settlement,tau,S0,S_max,moneyness,options_csv,underlying_csv
2026-04-01,AD,CALL,APR 2026,36.0,4.62,0.043835616438356165,41.2,138.0,0.8737864077669902,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,37.0,3.64,0.043835616438356165,41.2,138.0,0.8980582524271844,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,38.0,2.69,0.043835616438356165,41.2,138.0,0.9223300970873786,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,39.0,1.78,0.043835616438356165,41.2,138.0,0.9466019417475727,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,40.0,1.0,0.043835616438356165,41.2,138.0,0.9708737864077669,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,41.0,0.47,0.043835616438356165,41.2,138.0,0.9951456310679611,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,42.0,0.19,0.043835616438356165,41.2,138.0,1.0194174757281553,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,43.0,0.08,0.043835616438356165,41.2,138.0,1.0436893203883495,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,44.0,0.02,0.043835616438356165,41.2,138.0,1.0679611650485437,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,45.0,0.01,0.043835616438356165,41.2,138.0,1.0922330097087378,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,APR 2026,46.0,0.0,0.043835616438356165,41.2,138.0,1.116504854368932,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,34.0,7.57,0.7150684931506849,41.2,150.0,0.8252427184466019,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,35.0,6.76,0.7150684931506849,41.2,150.0,0.8495145631067961,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,36.0,5.97,0.7150684931506849,41.2,150.0,0.8737864077669902,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,38.0,4.56,0.7150684931506849,41.2,150.0,0.9223300970873786,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,40.0,3.35,0.7150684931506849,41.2,150.0,0.9708737864077669,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,42.0,2.38,0.7150684931506849,41.2,150.0,1.0194174757281553,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
2026-04-01,AD,CALL,DEC 2026,44.0,1.65,0.7150684931506849,41.2,150.0,1.0679611650485437,data/daily_clean/2026-04-01_options.csv,data/daily_clean/2026-04-01_underlying.csv
