strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,r,options_csv
43.0,0.47,0.30800178684783286,0.16199821315216711,0.02624342106449497,1.0436893203883495,test,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16128140406890962,0.02,../data/daily_clean/2026-04-01_options.csv
41.0,1.49,1.4210266603937172,0.06897333960628282,0.004757321576443623,0.9951456310679611,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
36.0,5.08,5.301190886810458,0.22119088681045795,0.04892540840799682,0.8737864077669902,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
45.0,0.32,0.22932781647985997,0.09067218352014003,0.008221444864309953,1.0922330097087378,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
46.0,0.22,0.1293316706626312,0.09066832933736879,0.00822074594482957,1.116504854368932,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
38.0,3.41,3.4919407313261184,0.08194073132611823,0.006714283450259094,0.9223300970873786,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
37.0,4.23,4.369144143396932,0.1391441433969316,0.019361092641665863,0.8980582524271844,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
44.0,0.49,0.38819346770056057,0.10180653229943942,0.010364570018836802,1.0679611650485437,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
40.0,2.03,1.998674904134117,0.031325095865882835,0.0009812616310067499,0.9708737864077669,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
39.0,2.68,2.694185268416489,0.014185268416488928,0.00020122184004783827,0.9466019417475727,test,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
42.0,1.06,0.9660030296732437,0.09399697032675636,0.008835430430609114,1.0194174757281553,test,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
43.0,0.73,0.6269386237300495,0.10306137626995049,0.010621647278656313,1.0436893203883495,test,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
42.0,1.71,1.5270861460823957,0.18291385391760429,0.03345747795499068,1.0194174757281553,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
32.0,8.8,9.260047887934634,0.4600478879346337,0.21164405919311727,0.7766990291262136,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
48.0,0.36,0.2069296569647058,0.15307034303529418,0.023430529916942635,1.1650485436893203,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
50.0,0.21,0.0914608516986857,0.11853914830131429,0.014051529680000983,1.2135922330097086,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
36.0,5.38,5.504414128808998,0.12441412880899794,0.015478875447301931,0.8737864077669902,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
34.0,7.03,7.331042365355267,0.30104236535526674,0.09062650573869391,0.8252427184466019,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
46.0,0.62,0.4356021368710908,0.1843978631289092,0.034002571926507935,1.116504854368932,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
40.0,2.64,2.531157349662657,0.1088426503373432,0.011846722532457155,0.9708737864077669,train,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
38.0,3.88,3.8736149566529186,0.006385043347081343,4.0768778544107716e-05,0.9223300970873786,test,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
44.0,1.05,0.8490606035403304,0.20093939645966963,0.04037664104957629,1.0679611650485437,test,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
45.0,0.81,0.6141912128535584,0.19580878714644168,0.0383410811237605,1.0922330097087378,test,2026-04-01,SEP 2026,2026-09-18,0.4657534246575342,41.2,150.0,0.16379479629687005,0.02,../data/daily_clean/2026-04-01_options.csv
42.0,0.97,0.838637540757503,0.131362459242497,0.017256095698236686,1.00647016534867,train,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
37.0,4.45,4.76970884877967,0.31970884877967,0.1022137479880219,0.8866522885214475,train,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
46.0,0.14,0.0465086436717042,0.0934913563282958,0.008740633708104377,1.1023244668104482,train,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
47.0,0.08,0.017801166224054733,0.06219883377594527,0.00386869492308767,1.1262880421758927,train,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
39.0,2.77,2.8890832379831473,0.11908323798314724,0.014180817568550882,0.9345794392523366,train,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
38.0,3.57,3.8044927659608567,0.23449276596085689,0.0549868572879732,0.910615863886892,train,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
45.0,0.23,0.11059026111142248,0.11940973888857753,0.014258685741438265,1.0783608914450036,train,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
41.0,1.45,1.3708486386873833,0.07915136131261669,0.006264937997640394,0.9825065899832256,train,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
40.0,2.05,2.0637313422451076,0.013731342245107747,0.00018854975985228067,0.958543014617781,test,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
43.0,0.63,0.46916064339944746,0.16083935660055254,0.025869298631679704,1.0304337407141146,test,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
44.0,0.39,0.23895661770142865,0.15104338229857137,0.02281410333619238,1.0543973160795592,test,2026-04-02,MAY 2026,2026-05-15,0.1178082191780822,41.73,141.0,0.16613029708235974,0.02,../data/daily_clean/2026-04-02_options.csv
42.0,1.3,1.2265770661732434,0.07342293382675669,0.005390927211728291,1.00647016534867,train,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
37.0,4.68,4.874925389729372,0.1949253897293719,0.03799590756114753,0.8866522885214475,train,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
46.0,0.27,0.1919226245148221,0.07807737548517793,0.0060960765626534635,1.1023244668104482,train,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
47.0,0.17,0.10806249797542368,0.06193750202457633,0.0038362541570443973,1.1262880421758927,train,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
39.0,3.08,3.132941839547074,0.052941839547073766,0.002802838374628104,0.9345794392523366,train,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
38.0,3.85,3.970566133129101,0.1205661331291008,0.014536192457704059,0.910615863886892,train,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
45.0,0.42,0.32626333499125076,0.09373666500874922,0.00878656236696247,1.0783608914450036,train,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
41.0,1.79,1.7465035711117693,0.04349642888823069,0.001891939326028909,0.9825065899832256,train,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
40.0,2.38,2.385311472816346,0.005311472816345919,2.821174347878165e-05,0.958543014617781,test,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
43.0,0.91,0.8247915938729394,0.0852084061270606,0.007260472474714098,1.0304337407141146,test,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
44.0,0.62,0.5304939034412128,0.08950609655878716,0.008011341321190931,1.0543973160795592,test,2026-04-02,JUN 2026,2026-06-19,0.2136986301369863,41.73,141.0,0.17128092690945987,0.02,../data/daily_clean/2026-04-02_options.csv
42.0,1.96,1.7771437245480768,0.18285627545192318,0.0334364174721496,1.00647016534867,train,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
32.0,9.32,9.781437031412196,0.4614370314121956,0.2129241339584996,0.7668344116942248,train,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
48.0,0.42,0.2617074486935339,0.15829255130646608,0.025056531799110195,1.1502516175413373,train,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
50.0,0.24,0.11892664812213975,0.12107335187786024,0.014658756534940164,1.1981787682722262,train,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
36.0,5.79,5.981194506447439,0.19119450644743896,0.03655533929567978,0.8626887131560029,train,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
34.0,7.52,7.839369774978172,0.3193697749781723,0.10199705316960841,0.8147615624251139,train,2026-04-02,SEP 2026,2026-09-18,0.46301369863013697,41.73,150.0,0.1637137961701935,0.02,../data/daily_clean/2026-04-02_options.csv
