strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,group_strike,group_moneyness
36.0,4.87,5.0890367036163955,0.21903670361639538,0.047977077531136635,0.8737864077669902,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.010362958593380753,36.0,0.8737864077669902
37.0,3.97,4.091464954528117,0.12146495452811701,0.014753735178517533,0.8980582524271844,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.010558319702408551,37.0,0.8980582524271844
38.0,3.12,3.1200504915301024,5.0491530102281246e-05,2.5493946120695733e-09,0.9223300970873786,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.07316338406656077,38.0,0.9223300970873786
39.0,2.36,2.3600436036934065,4.3603693406613075e-05,1.9012820786979127e-09,0.9466019417475727,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.14959869262320186,39.0,0.9466019417475727
40.0,1.7,1.6997104701237675,0.00028952987623243054,8.382754923116655e-08,0.9708737864077669,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.16992394916066467,40.0,0.9708737864077669
41.0,1.16,1.1592329340483047,0.0007670659516951783,5.883901742500296e-07,0.9951456310679611,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.1801273914303764,41.0,0.9951456310679611
42.0,0.75,0.749265476495164,0.0007345235048360488,5.39524779156633e-07,1.0194174757281553,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.18655866426252599,42.0,1.0194174757281553
43.0,0.47,0.4694215820896119,0.000578417910388096,3.345672790577314e-07,1.0436893203883495,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.19301554004492477,43.0,1.0436893203883495
44.0,0.29,0.2899691696897191,3.083031028089378e-05,9.505080320161847e-10,1.0679611650485437,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.2000151860397169,44.0,1.0679611650485437
45.0,0.18,0.1800456077140934,4.560771409339859e-05,2.0800635848251883e-09,1.0922330097087378,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.20785164496878686,45.0,1.0922330097087378
46.0,0.11,0.11015454318620019,0.00015454318620018725,2.3883596400905747e-08,1.116504854368932,train,2026-04-01,MAY 2026,2026-05-15,0.12054794520547946,41.2,138.0,0.21483822639620206,46.0,1.116504854368932
