strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,r,options_csv
41.0,1.49,1.4210266603937172,0.06897333960628282,0.004757321576443623,0.9951456310679611,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
36.0,5.08,5.301190886810458,0.22119088681045795,0.04892540840799682,0.8737864077669902,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
45.0,0.32,0.22932781647985997,0.09067218352014003,0.008221444864309953,1.0922330097087378,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
46.0,0.22,0.1293316706626312,0.09066832933736879,0.00822074594482957,1.116504854368932,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
38.0,3.41,3.4919407313261184,0.08194073132611823,0.006714283450259094,0.9223300970873786,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
37.0,4.23,4.369144143396932,0.1391441433969316,0.019361092641665863,0.8980582524271844,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
44.0,0.49,0.38819346770056057,0.10180653229943942,0.010364570018836802,1.0679611650485437,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
40.0,2.03,1.998674904134117,0.031325095865882835,0.0009812616310067499,0.9708737864077669,train,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
39.0,2.68,2.694185268416489,0.014185268416488928,0.00020122184004783827,0.9466019417475727,test,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
42.0,1.06,0.9660030296732437,0.09399697032675636,0.008835430430609114,1.0194174757281553,test,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
43.0,0.73,0.6269386237300495,0.10306137626995049,0.010621647278656313,1.0436893203883495,test,2026-04-01,JUN 2026,2026-06-19,0.21643835616438356,41.2,138.0,0.16841478943875146,0.02,../data/daily_clean/2026-04-01_options.csv
