maturity,sigma_calibrated,train_mse,train_mae,test_mae,n_train,n_test,n_dates,dataset_csv
APR 2026,0.08685545280413128,0.07771914284964994,0.19044859645934298,0.09543481073240839,25,8,3,calibration_results/global_raw_dataset.csv
DEC 2026,0.1894367744713818,0.02602381613378354,0.13849360945520744,0.11128641687918192,33,11,4,calibration_results/global_raw_dataset.csv
JUL 2026,0.21219356340390816,0.006237423718911081,0.07250117377942196,0.07109888568462923,8,3,1,calibration_results/global_raw_dataset.csv
JUN 2026,0.181927532709106,0.031410022273440516,0.14377467021940954,0.1075402659218267,25,8,3,calibration_results/global_raw_dataset.csv
JUN 2027,0.1758948346341473,0.09802282742128945,0.2460340758121806,0.166732007743327,33,11,4,calibration_results/global_raw_dataset.csv
MAR 2027,0.19414373493443038,0.029314723599978866,0.140680725997531,0.12559613384287116,33,11,4,calibration_results/global_raw_dataset.csv
MAY 2026,0.19424084741757708,0.04996795696630999,0.18730462855713095,0.13114342465099318,33,11,4,calibration_results/global_raw_dataset.csv
SEP 2026,0.1774210408624041,0.05070243006340163,0.1728870872466036,0.09605637979049474,33,11,4,calibration_results/global_raw_dataset.csv
